"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A7GNPWJF","journalArticle","2017","Meynard, Jean-Marc; Jeuffroy, Marie-Hélène; Le Bail, Marianne; Lefèvre, Amélie; Magrini, Marie-Benoit; Michon, Camille","Designing coupled innovations for the sustainability transition of agrifood systems","Agricultural Systems","","0308-521X","10.1016/j.agsy.2016.08.002","http://www.sciencedirect.com/science/article/pii/S0308521X1630378X","Numerous signs underline an urgent need for innovation in the current agriculture and food industries. However, even though the components of the agrifood systems are all strongly interconnected, the design processes to improve their sustainabilities are still mostly managed separately. This frequently leads to innovating in one domain in order to adapt to the constraints or specifications of the other, such as tweaking the farming systems to address processing issues, or the other way round. The objectives of this paper are first to show the limits of such an organization, and second to provide a heuristic framework to organize the design of coupled innovations, by reconnecting the dynamics of innovation in agriculture and food, with a view to improving the whole agrifood system. Our framework highlights that working at this level requires designing in raw production, exchange, processing, and consumption, while taking into account synergies or antagonisms between upstream and downstream. Thus, the innovations are not only technological – e.g. concerning cropping systems or processing – but also organizational and institutional. Based on several examples, in the cereal, linseed, legume, and market-gardening productions, at the junction of agriculture and food sciences, we also show that this perspective of designing coupled innovations calls for a renewed research agenda. Three main domains are thus questioned. First, coupling requires an innovative design process for radical innovations, challenging the coordination of exploration in both domains. Second, the development of “innovation niches” outside the dominant sociotechnical regime, in order to bypass the lock-in from the dominant system, faces the difficulty of favoring the building of renewed networks of actors, which were used to working separately so far. Third, the necessity to share expectations and knowledge, and to design together innovations that suit all sides, leads to making several recommendations for the governance of the design process. Finally, we conclude that the need for innovation in the agrifood systems requires going beyond the historical specialization of skills, and the usual forms of coordination between designers.","2017-10-01","2021-12-17 14:30:25","2021-12-17 14:30:25","2019-02-28 15:06:11","330-339","","","157","","Agricultural Systems","","","","","","","","","","","","","ScienceDirect","","","","/Users/lizawood/Zotero/storage/9ES2UP4B/Meynard et al. - 2017 - Designing coupled innovations for the sustainabili.pdf; /Users/lizawood/Zotero/storage/95GY7AJA/S0308521X1630378X.html","","","Agroecology; Food system; Innovative design; Lock-in; Open innovation; Value chain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVFJUNNY","journalArticle","2010","Mayen, Carlos D.; Balagtas, Joseph V.; Alexander, Corinne E.","Technology Adoption and Technical Efficiency: Organic and Conventional Dairy Farms in the United States","American Journal of Agricultural Economics","","1467-8276","10.1093/ajae/aap018","http://onlinelibrary.wiley.com/doi/abs/10.1093/ajae/aap018","We compare productivity and technical efficiency of organic and conventional dairy farms in the United States. We address self-selection into organic farming by using propensity score matching and explicitly test the hypothesis that organic and conventional farms employ a single, homogeneous technology. Utilizing the 2005 Agricultural Resource Management Survey on Dairy Costs and Returns Report (ARMS) data, we reject the homogeneous technology hypothesis and find that the organic dairy technology is approximately 13% less productive. However, we find little difference in technical efficiency between organic and conventional farms when technical efficiency is measured against the appropriate technology.","2010","2021-12-17 14:23:49","2021-12-17 14:23:49","2020-06-10 20:45:21","181-195","","1","92","","","Technology Adoption and Technical Efficiency","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1093/ajae/aap018","","/Users/lizawood/Zotero/storage/3DPXLZHH/Mayen et al. - 2010 - Technology Adoption and Technical Efficiency Orga.pdf; /Users/lizawood/Zotero/storage/P7RJKGMA/aap018.html","","","dairy; organic; productivity; propensity score matching; self-selection; stochastic frontier; technical efficiency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGL2MYVK","bookSection","2019","Magrini, Marie-Benoit; Béfort, Nicolas; Nieddu, Martino","Chapter 24 - Technological Lock-In and Pathways for Crop Diversification in the Bio-Economy","Agroecosystem Diversity","978-0-12-811050-8","","","http://www.sciencedirect.com/science/article/pii/B9780128110508000248","Crop diversification would improve the sustainability of Western agricultural production systems, yet few farmers have adopted this approach. This chapter presents an economic analysis of the main lock-in effects explaining why cropping diversity has not become widespread. Technological lock-in has resulted from the coevolution of crop systems (based on the post-WWII agrochemical paradigm), public policies, and market dynamics that promote major crops such as cereals. This chapter explains how interrelated factors have favored increasing returns to adoption for cereals to the detriment of minor crops. The evolutionary economics approach used here identifies the main economic mechanisms that reinforce the choice of an initial production pathway. Today with the development of the bio-economy, we also examine whether new technological pathways in the agro-food sector may be able to reverse this lock-in.","2019-01-01","2021-12-17 14:23:04","2021-12-17 14:23:04","2020-12-13 15:53:56","375-388","","","","","","","","","","","Academic Press","","en","","","","","ScienceDirect","","DOI: 10.1016/B978-0-12-811050-8.00024-8","","/Users/lizawood/Zotero/storage/Q8SW52ZN/Magrini et al. - 2019 - Chapter 24 - Technological Lock-In and Pathways fo.pdf; /Users/lizawood/Zotero/storage/Z44GBEB2/B9780128110508000248.html","","","Agroecology; Agrifood industry; Bio-economy; Coevolution; Economy-ecology conflict; Technological lock-in","Lemaire, Gilles; Carvalho, Paulo César De Faccio; Kronberg, Scott; Recous, Sylvie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJQ79UEB","journalArticle","2013","Long, Emmaline; Ketterings, Quirine; Czymmek, Karl","Survey of Cover Crop Use on New York Dairy Farms","Crop Management","","1543-7833","10.1094/CM-2013-0019-RS","https://www.agronomy.org/publications/cm/abstracts/12/1/CM-2013-0019-RS","","2013","2021-12-17 14:22:47","2021-12-17 14:22:47","2017-02-17 15:06:23","0","","1","12","","","","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCRF9IDR","journalArticle","2011","Lithourgidis, A. S.; Dordas, C. A.; Damalas, C. A.; Vlachostergios, D. N.","Annual intercrops: an alternative pathway for sustainable agriculture.","Australian Journal of Crop Science","","","","http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18352693&AN=63991125&h=gCtsSS%2BRCIH4jai0pQOUCCGY8H9ttT6i7Q8IAxm3X6EKN%2BdPYCi00zDmh%2Bps69diDaOdtwQVeqYsQ35fuPv1Ug%3D%3D&crl=c","","2011","2021-12-17 14:22:10","2021-12-17 14:22:10","2014-03-06 18:37:32","","","4","5","","","Annual intercrops","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MV7K7NIX","journalArticle","2015","Lamine, Claire","Sustainability and Resilience in Agrifood Systems: Reconnecting Agriculture, Food and the Environment","Sociologia Ruralis","","1467-9523","10.1111/soru.12061","http://onlinelibrary.wiley.com/doi/abs/10.1111/soru.12061","The sustainability and resilience of agrifood systems are generally considered either through the sustainable development paradigm, which focuses on the interactions between agriculture and the environment and often neglects consumption and food issues, or through the relocalisation paradigm, which prevails in the literature on alternative food systems and social movements. Because of its focus on direct producer-consumer relations, the relocalisation perspective suggests a possible transition pathway, but does not fully address the diversity of interdependencies in agrifood systems (food being largely processed, distributed and provided by intermediaries) and therefore fails to effectively reconnect agriculture and food issues. This article shows the need to consider the possible reconnections between agricultural, food and environmental issues from a perspective that takes this diversity in agrifood systems into account. Such a perspective would go beyond the prevailing paradigm of relocalisation. Based on the analysis of recent scientific and public debates and on case studies carried out in France and Brazil, the article suggests a territorial agrifood systems perspective that takes account of the diverse actors and institutions involved in agriculture and food, and the diverse relations between agriculture, food and the environment that can contribute to the development of alternative and more resilient pathways.","2015","2021-12-17 14:21:46","2021-12-17 14:21:46","2019-02-25 13:32:03","41-61","","1","55","","","Sustainability and Resilience in Agrifood Systems","","","","","","","en","© 2014 The Author. Sociologia Ruralis © 2014 European Society for Rural Sociology","","","","Wiley Online Library","","","","/Users/lizawood/Zotero/storage/EBJD58NF/Lamine - 2015 - Sustainability and Resilience in Agrifood Systems.pdf; /Users/lizawood/Zotero/storage/Y8RX3D2T/soru.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N87HM3ZZ","journalArticle","2015","Ketterings, Quirine; Ort, Shona; N. Swink, Sheryl; Godwin, Greg; Kilcer, Thomas; Miller, Jeff; Verbeten, William","Winter Cereals as Double Crops in Corn Rotations on New York Dairy Farms","Journal of Agricultural Science","","","10.5539/jas.v7n2p18","","Weather extremes in 2012 and 2013 impacted corn silage and hay yields for many dairies in the northeastern United States and prompted a growing interest in double cropping of winter cereals for harvest as high quality forage in the spring. Here we report on (1) forage yield ranges of cereal rye and triticale in corn-cereal rotations in New York in 2012-2014, and (2) survey results of 30 New York farm managers who grew winter cereals as double crops with corn silage in 2013. Yields averaged 3.62 and 4.88 Mg ha-1 for cereal rye and triticale, respectively. On average, the surveyed farmers planted 8% of their tillable acres to winter cereal with the intent to harvest as forage. Triticale was the most frequently seeded double crop (70%). Most stands were established with a drill (57%). Manure was applied to 37% of the fields. Fertilizer nitrogen (N) was applied at dormancy break by 79% of the farmers with a median application rate of 67 kg N ha-1. The biggest challenge with the double-crop rotation, identified by the farmers, was timely seeding of the double crop in the fall given late corn silage harvest and early onset of frost in the Northeast. Despite challenges encountered and questions about the impact of harvest of the winter cereal on the main crop, 83% of the surveyed farmers planned to continue to grow double crops.","2015-01-15","2021-12-17 14:21:21","2021-12-17 14:21:21","","","","","7","","","","","","","","","","","","","","","ResearchGate","","","","/Users/lizawood/Zotero/storage/L5GZDNGE/276235624_Winter_Cereals_as_Double_Crops_in_Corn_Rotations_on_New_York_Dairy_Farms.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFSF6CRI","journalArticle","","Jordan, N.; Gutknecht, J.; Bybee‐Finley, K. A.; Hunter, M.; Krupnik, T. J.; Pittelkow, C. M.; Prasad, P. V. V.; Snapp, S.","To meet grand challenges, agricultural scientists must engage in the politics of constructive collective action","Crop Science","","1435-0653","10.1002/csc2.20318","http://acsess.onlinelibrary.wiley.com/doi/abs/10.1002/csc2.20318","Agriculture now faces grand challenges, with crucial implications for the global future. These include the need to increase production of nutrient-dense food, to improve agriculture's effects on soil, water, wildlife, and climate, and to enhance equity and justice in food and agricultural systems. We argue that certain politics of constructive collective action—and integral involvement of agricultural scientists in these politics—is essential for meeting grand challenges and other complex problems facing agriculture in the 21st century. To spur reflection and deliberation about the role of politics in the work of agricultural scientists, we outline these politics of constructive collective action. These serve to organize forceful responses to grand challenges through coordinated and cooperative action taken by multiple sectors of society. In essence, these politics entail (1) building bonds of affinity within a heterogenous network, (2) developing a shared roadmap for collective action, and (3) taking sustained action together. These emerging politics differ markedly from more commonly discussed forms of political activity by scientists, e.g., policy advisory, policy advocacy, and protest. We present key premises for our thesis, and then describe and discuss a politics of constructive collective action, the necessary roles of agricultural scientists, and an agenda for exploring and expanding their engagement in these politics. Meeting agricultureâ€™s grand challenges requires coordinated technical and social innovation Coordinated innovation requires broad, sustained collective action Such efforts can be organized by a new politics of constructive collective action Agricultural scientists must participate actively in these new politics Agricultural scientists can become skilled actors in constructive politics of collective action This article is protected by copyright. All rights reserved","","2021-12-17 14:20:58","2021-12-17 14:20:58","2020-09-03 20:11:57","","","n/a","n/a","","","","","","","","","","en","This article is protected by copyright. All rights reserved","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/csc2.20318","","/Users/lizawood/Zotero/storage/WIUGY7PB/Jordan et al. - To meet grand challenges, agricultural scientists .pdf; /Users/lizawood/Zotero/storage/PXMKJINN/csc2.html","","","Opinion; sustainable Intensification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTLG7EQP","journalArticle","2006","Janssen, Marco; Bodin, Örjan; Anderies, John; Elmqvist, Thomas; Ernstson, Henrik; McAllister, Ryan R. J.; Olsson, Per; Ryan, Paul","Toward a Network Perspective of the Study of Resilience in Social-Ecological Systems","Ecology and Society","","1708-3087","10.5751/ES-01462-110115","https://www.ecologyandsociety.org/vol11/iss1/art15/","Janssen, M. A., Ö. Bodin, J. M. Anderies, T. Elmqvist, H. Ernstson, R. R. J. McAllister, P. Olsson, and P. Ryan. 2006. Toward a network perspective on the resilience of social-ecological systems. Ecology and Society 11(1): 15. https://doi.org/10.5751/ES-01462-110115","2006-03-28","2021-12-17 14:20:39","2021-12-17 14:20:39","2018-04-04 17:53:01","","","1","11","","","","","","","","","","en","© 2006 by the author(s)","","","","www.ecologyandsociety.org","","","","/Users/lizawood/Zotero/storage/ACFHJLEI/Janssen et al. - 2006 - Toward a Network Perspective of the Study of Resil.pdf; /Users/lizawood/Zotero/storage/TL79JKK8/art15.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y2PPVN8P","journalArticle","2011","Isbell, Forest; Calcagno, Vincent; Hector, Andy; Connolly, John; Harpole, W. Stanley; Reich, Peter B.; Scherer-Lorenzen, Michael; Schmid, Bernhard; Tilman, David; van Ruijven, Jasper; Weigelt, Alexandra; Wilsey, Brian J.; Zavaleta, Erika S.; Loreau, Michel","High plant diversity is needed to maintain ecosystem services","Nature","","1476-4687","10.1038/nature10282","http://www.nature.com/articles/nature10282","Biodiversity–ecosystem function experiments have shown the importance of a diverse range of species for the health of ecosystems, but the number of species needed to maintain ecosystem functioning and services remains unclear. A meta-analysis of biodiversity research now shows, surprisingly, that 84% of grassland plant species have promoted ecosystem functioning at least once. Different species were important in different years, in different places and for different functions. These results strongly suggest that most grassland plant species provide ecosystem services. Consequently, even a few extinctions could have a deleterious effect.","2011-09","2021-12-17 14:20:13","2021-12-17 14:20:13","2020-04-19 16:54:01","199-202","","7363","477","","","","","","","","","","en","","","","","www-nature-com.proxy.library.cornell.edu","","Number: 7363 Publisher: Nature Publishing Group","","/Users/lizawood/Zotero/storage/YJYFEWXR/Isbell et al. - 2011 - High plant diversity is needed to maintain ecosyst.pdf; /Users/lizawood/Zotero/storage/GPGCLQMP/nature10282.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BP45CIPY","journalArticle","2008","Ingram, J.S.I.; Gregory, P.J.; Izac, A.-M.","The role of agronomic research in climate change and food security policy","Agriculture, Ecosystems & Environment","","01678809","10.1016/j.agee.2008.01.009","http://linkinghub.elsevier.com/retrieve/pii/S0167880908000182","","2008-06","2021-12-17 14:19:54","2021-12-17 14:19:54","2014-03-06 16:30:40","4-12","","1-2","126","","","","","","","","","","","","","","","CrossRef","","","","/Users/lizawood/Zotero/storage/JS4D8UTI/agronomic-reserach-and-cc_b17320b7cf.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCIGUC9I","book","2010","Howard, Albert","An Agricultural Testament","","978-1-84902-773-1","","","","Title: An Agricultural Testament Binding: Paperback Author: AlbertHoward Publisher: BenedictionClassics","2010-04-30","2021-12-17 14:10:34","2021-12-17 14:10:34","","","266","","","","","","","","","","Benediction Classics","New York","English","","","","","Amazon","","","","","https://www.amazon.com/Agricultural-Testament-Albert-Howard/dp/1849027730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDQIRQKF","journalArticle","2001","Holling, C. S.","Understanding the Complexity of Economic, Ecological, and Social Systems","Ecosystems","","1432-9840","10.1007/s10021-001-0101-5","https://doi.org/10.1007/s10021-001-0101-5","Hierarchies and adaptive cycles comprise the basis of ecosystems and social-ecological systems across scales. Together they form a panarchy. The panarchy describes how a healthy system can invent and experiment, benefiting from inventions that create opportunity while being kept safe from those that destabilize because of their nature or excessive exuberance. Each level is allowed to operate at its own pace, protected from above by slower, larger levels but invigorated from below by faster, smaller cycles of innovation. The whole panarchy is therefore both creative and conserving. The interactions between cycles in a panarchy combine learning with continuity. An analysis of this process helps to clarify the meaning of “sustainable development.” Sustainability is the capacity to create, test, and maintain adaptive capability. Development is the process of creating, testing, and maintaining opportunity. The phrase that combines the two, “sustainable development,” thus refers to the goal of fostering adaptive capabilities and creating opportunities. It is therefore not an oxymoron but a term that describes a logical partnership.","2001-08-01","2021-12-17 14:09:45","2021-12-17 14:09:45","2018-09-15 17:44:20","390-405","","5","4","","Ecosystems","","","","","","","","en","","","","","Springer Link","","","","/Users/lizawood/Zotero/storage/MX8CXJQ3/Holling - 2001 - Understanding the Complexity of Economic, Ecologic.pdf","","","Key words: hierarchy; adaptive cycles; multiple scales; resilience; sustainability.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3NPF3GQZ","journalArticle","1973","Holling, C. S.","Resilience and Stability of Ecological Systems","Annual Review of Ecology and Systematics","","0066-4162","","http://www.jstor.org/stable/2096802","","1973","2021-12-17 14:09:20","2021-12-17 14:09:20","2018-11-23 22:41:28","1-23","","","4","","","","","","","","","","","","","","","JSTOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2PWW7F8","journalArticle","2010","Hoagland, L.; Hodges, L.; Helmers, G. A.; Brandle, J. R.; Francis, C. A.","Labor Availability in an Integrated Agricultural System","Journal of Sustainable Agriculture","","1044-0046","10.1080/10440046.2010.484697","https://doi.org/10.1080/10440046.2010.484697","The trend towards crop specialization and increased farm size in U.S. agricultural systems has had negative economic and environmental impacts. On large, specialized farms, bottlenecks in labor occur, and a significant amount of seasonal labor is underutilized. This study was conducted to determine if this labor could be allocated to the production of supplemental enterprises. A linear programming analysis confirmed that 2,807 hours of underutilized labor exists in a typical corn-soybean rotation and that integration of the supplemental crops evaluated in our study are feasible. Grazing of stalk residues alone did not make use of the underutilized labor, however, integration of two alternative cabbage production scenarios as well as an agroforestry alternative that included decorative woody florals made use of an additional 357 and 306 hours of the underutilized labor, respectively. The integration of supplemental alternative crops into an existing corn–soybean rotation has the ability to make use of underutilized labor and has potential to increase farm profitability and improve agronomic and environmental sustainability.","2010-06-15","2021-12-17 14:08:13","2021-12-17 14:08:13","2020-06-06 19:14:09","532-548","","5","34","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10440046.2010.484697","","/Users/lizawood/Zotero/storage/8666YWIF/Hoagland et al. - 2010 - Labor Availability in an Integrated Agricultural S.pdf; /Users/lizawood/Zotero/storage/3CZUQP5W/10440046.2010.html","","","cabbage; corn-soybeans; integration; labor; livestock; sustainability; windbreaks; woody florals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7GM87CE","journalArticle","2006","Heckman, J.","A history of organic farming: Transitions from Sir Albert Howard's War in the Soil to USDA National Organic Program","Renewable Agriculture and Food Systems","","1742-1713, 1742-1705","10.1079/RAF2005126","https://www.cambridge.org/core/journals/renewable-agriculture-and-food-systems/article/abs/history-of-organic-farming-transitions-from-sir-albert-howards-war-in-the-soil-to-usda-national-organic-program/C2A1F5AFE4D21398E3174D7650CEE521","The organic farming concept developed in the period prior to 1940 and was pioneered by Sir Albert Howard (1873–1947). Howard, born and educated in England, directed agricultural research centers in India (1905–1931) before permanently returning to England. His years of agricultural research experiences and observations gradually evolved into a philosophy and concept of organic farming that he espoused in several books. Howard's thinking on soil fertility and the need to effectively recycle waste materials, including sewage sludge, onto farmland was reinforced by F.H. King's book, Farmers of Forty Centuries. Howard developed a system of composting that became widely adopted. Howard's concept of soil fertility centered on building soil humus with an emphasis on how soil life was connected to the health of crops, livestock, and mankind. Howard argued that crop and animal health was a birthright and that the correct method of dealing with a pathogen was not to destroy the pathogen but to see what could be learned from it or to ‘make use of it for tuning up agricultural practice’. The system of agriculture advocated by Howard was coined ‘organic’ by Walter Northbourne to refer to a system ‘having a complex but necessary interrelationship of parts, similar to that in living things’. Lady Eve Balfour compared organic and non-organic farming and helped to popularize organic farming with the publication of The Living Soil. Jerome Rodale, a publisher and an early convert to organic farming, was instrumental in the diffusion and popularization of organic concepts in the US. Both Howard and Rodale saw organic and non-organic agriculture as a conflict between two different visions of what agriculture should become as they engaged in a war of words with the agricultural establishment. A productive dialogue failed to occur between the organic community and traditional agricultural scientists for several decades. Organic agriculture gained significant recognition and attention in 1980, marked by the USDA publication Report and Recommendations on Organic Farming. The passage of the Federal Organic Foods Production Act in 1990 began the era of accommodation for organic farming in the USA, followed by another milestone with official labeling as USDA Certified Organic in 2002. Organic agriculture will likely continue to evolve in response to ongoing social, environmental, and philosophical concerns of the organic movement.","2006-09","2021-12-17 14:07:52","2021-12-17 14:07:52","2020-12-12 17:28:57","143-150","","3","21","","","A history of organic farming","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/lizawood/Zotero/storage/26ZJD28J/C2A1F5AFE4D21398E3174D7650CEE521.html; /Users/lizawood/Zotero/storage/4U4ZYJK3/Heckman - 2006 - A history of organic farming Transitions from Sir.pdf","","","Albrect Daniel Thaer; Carl Sprengel; E.B. Balfour; F.H. King; humus theory of plant nutrition; Indore composting; J.I. Rodale; Justus von Liebig; organic agriculture; the Law of Return; USDA Certified Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IUDHRBKY","journalArticle","2013","Hanson, J. C.; Johnson, D. M.; Lichtenberg, E.; Minegishi, K.","Competitiveness of management-intensive grazing dairies in the mid-Atlantic region from 1995 to 2009","Journal of Dairy Science","","0022-0302","10.3168/jds.2011-5234","http://www.sciencedirect.com/science/article/pii/S0022030213000209","This paper used farm income tax returns (Schedule F) data from 62 dairy farmers who milked 200 cows or fewer in western and central Maryland and southwestern Pennsylvania (hereafter, the mid-Atlantic region) to assess the relative financial performance of management-intensive grazing (MIG) and confinement dairy operations over the 15-yr period from 1995 through 2009. Data were not available from all farmers in all years; on average, the sample analyzed contained 11 MIG farms and 26 confinement farms. Management-intensive grazing operators were more profitable on a per hundredweight, per cow, and per acre basis, and no less profitable on a whole-farm basis. Even though the confinement operators had higher gross income than MIG operators, their expenses exceeded those of MIG operators. Profits of MIG operations were less variable as well, so that MIG operators faced less income risk. Increased reliance on grazing has other benefits as well. Grazing seems to be a much healthier practice for dairy cows. Veterinary, breeding, and medicine costs per cow are much less for cows that are pastured than those raised in confinement systems. Because they are healthier, cows that are grazed can be milked longer (or culled less frequently). As a result, MIG operators have a larger number of higher quality animals for sale (e.g., bred heifers). Management-intensive operations are also less labor intensive. Reductions in crop production and in the time cows spend in the barn led to significant reductions in field work and cleaning operations in the barn. Costs of hired labor were thus substantially lower in MIG operations than in confinement operations. Land requirements likely impose the principal limitation on the size of intensive grazing operations. In the mid-Atlantic, for instance, grazing operations need 1.5 to 2.0 acres of pasture for every dairy cow/calf equivalent to provide sufficient grass to support a dairy operation. Pasture land for MIG operators must be contiguous to the milking parlor and located no farther than a cow can walk to and from twice a day. That requirement likely limits the maximum size of an intensive grazing operation, especially in areas where land prices and rents are high, as they are in much of the mid-Atlantic.","2013-03-01","2021-12-17 14:07:35","2021-12-17 14:07:35","2018-09-10 13:55:14","1894-1904","","3","96","","Journal of Dairy Science","","","","","","","","","","","","","ScienceDirect","","","","/Users/lizawood/Zotero/storage/IKYMLRCT/S0022030213000209.html","","","management-intensive grazing; mid-Atlantic region; profitability; risk analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CU946AVE","bookSection","2008","Hahn, Thomas; Schultz, Lisen; Folke, Carl; Olsson, Per","Social networks as sources of resilience in social-ecological systems","Complexity Theory for a Sustainable Future","978-0-231-50886-5","","","","Complexity theory illuminates the many interactions between natural and social systems, providing a better understanding of the general principles that can help solve some of today's most pressing environmental issues. Complexity theory was developed from key ideas in economics, physics, biology, and the social sciences and contributes to important new concepts for approaching issues of environmental sustainability such as resilience, scaling, and networks.Complexity Theory for a Sustainable Future is a hands-on treatment of this exciting new body of work and its applications, bridging the gap between theoretical and applied perspectives in the management of complex adaptive systems. Focusing primarily on natural resource management and community-based conservation, the book features contributions by leading scholars in the field, many of whom are among the leaders of the Resilience Alliance. Theoreticians will find a valuable synthesis of new ideas on resilience, sustainability, asymmetries, information processing, scaling, and networks. Managers and policymakers will benefit from the application of these ideas to practical approaches and empirical studies linked to social-ecological systems. Chapters present new twists on such existing approaches as scenario planning, scaling analyses, and adaptive management, and the book concludes with recommendations on how to manage natural resources, how to involve stakeholders in the dynamics of a system, and how to explain the difficult topic of scale. A vital reference for an emerging discipline, this volume provides a clearer understanding of the conditions required for systems self-organization, since the capacity of any system to self-organize is crucial for its sustainability over time.","2008-07-11","2021-12-17 14:06:50","2021-12-17 14:06:50","","119-147","","","","","","","","","","","Columbia University Press","","en","","","","","Google Books","","Google-Books-ID: RBBOarefKC8C","","","","","Science / Environmental Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72X85L8U","journalArticle","2013","Haas, Y. de; Smolders, E. a. A.; Hoorneman, J. N.; Nauta, W. J.; Veerkamp, R. F.","Suitability of cross-bred cows for organic farms based on cross-breeding effects on production and functional traits","animal","","1751-7311, 1751-732X","10.1017/S1751731112002042","https://www.cambridge.org/core/journals/animal/article/abs/suitability-of-crossbred-cows-for-organic-farms-based-on-crossbreeding-effects-on-production-and-functional-traits/CB2C1830E0685778DEA0F979BBF76D50","Data from 113 Dutch organic farms were analysed to determine the effect of cross-breeding on production and functional traits. In total, data on 33 788 lactations between January 2003 and February 2009 from 15 015 cows were available. Holstein–Friesian pure-bred cows produced most kg of milk in 305 days, but with the lowest percentages of fat and protein of all pure-bred cows in the data set. Cross-breeding Holstein dairy cows with other breeds (Brown Swiss, Dutch Friesian, Groningen White Headed, Jersey, Meuse Rhine Yssel, Montbéliarde or Fleckvieh) decreased milk production, but improved fertility and udder health in most cross-bred animals. In most breeds, heterosis had a significant effect (P < 0.05) on milk (kg in 305 days), fat and protein-corrected milk production (kg in 305 days) and calving interval (CI) in the favourable direction (i.e. more milk, shorter CI), but unfavourably for somatic cell count (higher cell count). Recombination was unfavourable for the milk production traits, but favourable for the functional traits (fertility and udder health). Farm characteristics, like soil type or housing system, affected the regression coefficients on breed components significantly. The effect of the Holstein breed on milk yield was twice as large in cubicle housing as in other housing systems. Jerseys had a negative effect on fertility only on farms on sandy soils. Hence, breed effects differ across farming systems in the organic farming and farmers can use such information to dovetail their farming system with the type of cow they use.","2013-04","2021-12-17 14:06:26","2021-12-17 14:06:26","2020-12-12 20:52:00","655-665","","4","7","","","","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/lizawood/Zotero/storage/GAACT5C9/CB2C1830E0685778DEA0F979BBF76D50.html; /Users/lizawood/Zotero/storage/P5DTDKAG/Haas et al. - 2013 - Suitability of cross-bred cows for organic farms b.pdf","","","organic farming; breed–environment interaction; cross-breeding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
