document ID,concept,type_of_org,type_of_concept,category,idea
13,C_Organizations_mission,County government,C,Institutions,Statutory mission
13,C_Organizations_mission,County government,C,Institutions,Statutory mission
13,C_Complexity_Information_overload,County government,C,Science,Information overload
13,S_Regulation_Integrated permitting,County government,S,Regulation,Integrated permitting
13,S_Collaborative governance_broad participation,County government,S,Institutions,Broad participation
13,C_Complexity_Information_overload,County government,C,Science,Information overload
13,S_Complexity_Climate service enterprise,County government,S,Science,Climate service enterprise
13,S_Complexity_Climate service enterprise,County government,S,Science,Climate service enterprise
13,S_Local govts_Local communities need pratical info on SLR,County government,S,Local communities,Local communities need pratical info on SLR
13,S_Leadership_Individuals matter,County government,S,Leadership,Individuals matter
13,S_Leadership_Individuals matter,County government,S,Leadership,Individuals matter
9,S_Collaborative governance_build trust/capacity,Regional Agency,S,Institutions,Build trust/capacity
13,S_Resources_Lobby for federal program,County government,S,Funding/Resources,Lobby for federal program
38,S_Leadership_collaboration led by regional agencies,State Agency,S,Leadership,Collaboration led by regional agencies
38,S_Complexity_Information clearinghouse,State Agency,S,Science,Information clearinghouse
38,C_Resources_Lack staff resources,State Agency,C,Funding/Resources,Lack staff resources
38,S_Complexity_Climate service enterprise,State Agency,S,Science,Climate service enterprise
38,C_Political leadership_Need disaster to spur action,State Agency,C,Leadership,Need disaster to spur action
38,S_Leadership_Merge orgs,State Agency,S,Leadership,Merge orgs
38,S_Resources_Ballot measure to raise money,State Agency,S,Funding/Resources,Ballot measure to raise money
38,S_Resources_Integrate funding sources,State Agency,S,Funding/Resources,Integrate funding sources
38,C_Political leadership_Need disaster to spur action,State Agency,C,Leadership,Need disaster to spur action
38,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
38,C_Organizations_Jurisdictional overlap,State Agency,C,Institutions,Jurisdictional overlap
38,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
38,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
38,S_Organizations_Formal authority to move things through,State Agency,S,Institutions,Demand more powers
38,S_Leadership_Existing entity/entities,State Agency,S,Leadership,Empower existing entities
38,S_Collaborative governance_Visioning process,State Agency,S,Institutions,Visioning process
38,C_Organizations_Jurisdictional overlap,State Agency,C,Institutions,Jurisdictional overlap
38,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
38,C_Private sector_no support,State Agency,C,Funding/Resources,Who pays?
38,C_Private sector_no support,State Agency,C,Funding/Resources,Who pays?
38,C_Local govts_control issues,State Agency,C,Local communities,Local control
33,C_Resources_Lack staff resources,Project,C,Funding/Resources,Lack staff resources
20,C_Organizations_Competition for same money,State Agency,C,Institutions,Competition for same money
33,C_Regulation_Permitting issues,Project,C,Regulation,Permitting issues
33,S_Regulation_Integrated permitting,Project,S,Regulation,Integrated permitting
33,C_Resources_Lack staff resources,Project,C,Funding/Resources,Lack staff resources
33,S_Regulation_Integrated permitting,Project,S,Regulation,Integrated permitting
33,C_Regulation_Permitting issues,Project,C,Regulation,Permitting issues
33,C_Private sector_no support,Project,C,Funding/Resources,Who pays?
24,C_People_Community engagement,State Agency,C,Local communities,Community engagement
24,S_Local govts_Local communities need pratical info on SLR,State Agency,S,Local communities,Local communities need pratical info on SLR
24,S_Political leadership_create legi requirements,State Agency,S,Leadership,Create legislative requirements
24,S_Local govts_governance must include local stakeholders,State Agency,S,Local communities,Include local stakeholders
24,S_Political leadership_create legi requirements,State Agency,S,Leadership,Create legislative requirements
24,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
24,C_Private sector_no support,State Agency,C,Funding/Resources,Who pays?
24,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
37,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
37,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
37,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
37,S_Planning_Pilot projects,Env NGO,S,Planning,Pilot projects
37,C_Complexity_Vulnerability interdependence,Env NGO,C,Science,Vulnerability interdependence
37,S_Complexity_Climate service enterprise,Env NGO,S,Science,Climate service enterprise
33,C_Resources_Who pays?,Project,C,Funding/Resources,Who pays?
37,C_Resources_Lack staff resources,Env NGO,C,Funding/Resources,Lack staff resources
37,S_Resources_Ballot measure to raise money,Env NGO,S,Funding/Resources,Ballot measure to raise money
37,C_Local govts_control issues,Env NGO,C,Local communities,Local control
37,C_Private sector_no support,Env NGO,C,Funding/Resources,Who pays?
37,C_Resources_Who pays?,Env NGO,C,Funding/Resources,Who pays?
37,C_Complexity_Vulnerability interdependence,Env NGO,C,Science,Vulnerability interdependence
37,S_People_Community engagement,Env NGO,S,Local communities,Engage communities
37,S_Resources_Ballot measure to raise money,Env NGO,S,Funding/Resources,Ballot measure to raise money
37,S_People_Community engagement,Env NGO,S,Local communities,Engage communities
37,C_Local govts_control issues,Env NGO,C,Local communities,Local control
9,C_Organizations_Jurisdictional fragmentation,Regional Agency,C,Institutions,Jurisdictional fragmentation
9,C_Leadership_No single voice for the Bay,Regional Agency,C,Leadership,No single voice for the Bay
9,S_Leadership_Existing entity/entities,Regional Agency,S,Leadership,Empower existing entities
9,C_Organizations_Jurisdictional overlap,Regional Agency,C,Institutions,Jurisdictional overlap
9,S_Leadership_collaboration led by regional agencies,Regional Agency,S,Leadership,Collaboration led by regional agencies
9,S_Complexity_Climate service enterprise,Regional Agency,S,Science,Climate service enterprise
9,S_People_Community engagement,Regional Agency,S,Local communities,Engage communities
9,S_Local govts_Local communities need pratical info on SLR,Regional Agency,S,Local communities,Local communities need pratical info on SLR
9,S_Resources_Ballot measure to raise money,Regional Agency,S,Funding/Resources,Ballot measure to raise money
9,S_People_Community engagement,Regional Agency,S,Local communities,Engage communities
9,S_Resources_Ballot measure to raise money,Regional Agency,S,Funding/Resources,Ballot measure to raise money
9,C_Local govts_control issues,Regional Agency,C,Local communities,Local control
9,C_Resources_Who pays?,Regional Agency,C,Funding/Resources,Who pays?
9,C_Private sector_no support,Regional Agency,C,Funding/Resources,Who pays?
9,C_Private sector_no support,Regional Agency,C,Funding/Resources,Who pays?
9,C_Organizations_Jurisdictional fragmentation,Regional Agency,C,Institutions,Jurisdictional fragmentation
9,S_Collaborative governance_build trust/capacity,Regional Agency,S,Institutions,Build trust/capacity
9,C_Resources_Lack staff resources,Regional Agency,C,Funding/Resources,Lack staff resources
9,S_Resources_orgs share resources,Regional Agency,S,Funding/Resources,Agencies should share resources
9,C_Complexity_Uncertainty,Regional Agency,C,Science,Uncertainty
9,C_Organizations_mission,Regional Agency,C,Institutions,Statutory mission
9,S_People_Community engagement,Regional Agency,S,Local communities,Engage communities
9,C_People_Community engagement,Regional Agency,C,Local communities,Community engagement
9,C_Organizations_Jurisdictional fragmentation,Regional Agency,C,Institutions,Jurisdictional fragmentation
16,C_Regulation_Permitting issues,Politician,C,Regulation,Permitting issues
16,C_Organizations_Jurisdictional overlap,Politician,C,Institutions,Jurisdictional overlap
16,C_Resources_Lack staff resources,Politician,C,Funding/Resources,Lack staff resources
16,S_Collaborative governance_needs facilitation/method,Politician,S,Institutions,Collaboration needs facilitation
16,C_Leadership_No single voice for the Bay,Politician,C,Leadership,No single voice for the Bay
16,C_Organizations_Jurisdictional overlap,Politician,C,Institutions,Jurisdictional overlap
16,S_Planning_Pilot projects,Politician,S,Planning,Pilot projects
16,C_Regulation_Permitting issues,Politician,C,Regulation,Permitting issues
16,S_Planning_Pilot projects,Politician,S,Planning,Pilot projects
16,C_Organizations_Jurisdictional overlap,Politician,C,Institutions,Jurisdictional overlap
16,S_People_Community engagement,Politician,S,Local communities,Engage communities
16,C_Resources_Lack staff resources,Politician,C,Funding/Resources,Lack staff resources
16,C_Organizations_Jurisdictional fragmentation,Politician,C,Institutions,Jurisdictional fragmentation
16,C_Organizations_Jurisdictional fragmentation,Politician,C,Institutions,Jurisdictional fragmentation
16,S_Regulation_Integrated permitting,Politician,S,Regulation,Integrated permitting
16,C_Leadership_No single voice for the Bay,Politician,C,Leadership,No single voice for the Bay
16,C_Private sector_no support,Politician,C,Funding/Resources,Who pays?
16,S_People_Community engagement,Politician,S,Local communities,Engage communities
16,C_Political leadership_Multiple issues for legi attention,Politician,C,Leadership,Multiple issues for legi attention
22,C_Organizations_Jurisdictional overlap,Local entity,C,Institutions,Jurisdictional overlap
22,C_Regulation_Permitting issues,Local entity,C,Regulation,Permitting issues
22,C_Complexity_Vulnerability interdependence,Local entity,C,Science,Vulnerability interdependence
4,S_Organizations_Formal authority to move things through,State Agency,S,Institutions,Demand more powers
22,S_People_Community engagement,Local entity,S,Local communities,Engage communities
16,C_People_SLR too far off in future,Local entity,C,Local communities,SLR too far off in future
22,C_People_SLR too far off in future,Local entity,C,Local communities,SLR too far off in future
22,C_Organizations_Jurisdictional fragmentation,Local entity,C,Institutions,Jurisdictional fragmentation
22,C_Complexity_Vulnerability interdependence,Local entity,C,Science,Vulnerability interdependence
33,S_Regulation_Integrated permitting,Project,S,Regulation,Integrated permitting
38,S_Collaborative governance_Visioning process,State Agency,S,Institutions,Visioning process
38,S_Planning_Pilot projects,State Agency,S,Planning,Pilot projects
22,C_Complexity_Vulnerability interdependence,Local entity,C,Science,Vulnerability interdependence
22,C_Organizations_Competition for same money,Local entity,C,Institutions,Competition for same money
22,C_Organizations_Jurisdictional overlap,Local entity,C,Institutions,Jurisdictional overlap
22,S_Local govts_governance must include local stakeholders,Local entity,S,Local communities,Include local stakeholders
22,S_Complexity_Climate service enterprise,Local entity,S,Science,Climate service enterprise
22,C_Resources_Who pays?,Local entity,C,Funding/Resources,Who pays?
22,S_Complexity_Climate service enterprise,Local entity,S,Science,Climate service enterprise
22,C_Regulation_Permitting issues,Local entity,C,Regulation,Permitting issues
6,C_Local govts_control issues,Regional Agency,C,Local communities,Local control
6,C_Organizations_mission,Regional Agency,C,Institutions,Statutory mission
6,S_Political leadership_create legi requirements,Regional Agency,S,Leadership,Create legislative requirements
6,S_Organizations_Formal authority to move things through,Regional Agency,S,Institutions,Demand more powers
6,S_People_Community engagement,Regional Agency,S,Local communities,Engage communities
6,S_Political leadership_create legi requirements,Regional Agency,S,Leadership,Create legislative requirements
6,C_Local govts_control issues,Regional Agency,C,Local communities,Local control
6,S_Resources_Ballot measure to raise money,Regional Agency,S,Funding/Resources,Ballot measure to raise money
6,C_Organizations_Jurisdictional overlap,Regional Agency,C,Institutions,Jurisdictional overlap
6,C_Organizations_Jurisdictional fragmentation,Regional Agency,C,Institutions,Jurisdictional fragmentation
6,C_People_Behavioral change,Regional Agency,C,Local communities,SLR too far off in future
6,C_Local govts_control issues,Regional Agency,C,Local communities,Local control
6,S_Political leadership_create legi requirements,Regional Agency,S,Leadership,Create legislative requirements
6,S_People_Community engagement,Regional Agency,S,Local communities,Engage communities
6,C_Organizations_Competing priorities,Regional Agency,C,Institutions,Competing priorities
4,S_Regulation_Integrated permitting,State Agency,S,Regulation,Integrated permitting
4,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
4,S_Collaborative governance_Informal collaboration,State Agency,S,Institutions,Build trust/capacity
4,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
4,S_Regulation_Monitor implementation,State Agency,S,Regulation,Monitor implementation
4,S_Political leadership_create legi requirements,State Agency,S,Leadership,Create legislative requirements
4,S_Regulation_Integrated permitting,State Agency,S,Regulation,Integrated permitting
4,S_Planning_Regional plan_priority list based on risk,State Agency,S,Planning,Regional plan_priority list based on risk
4,C_Resources_Lack staff resources,State Agency,C,Funding/Resources,Lack staff resources
4,C_Local govts_control issues,State Agency,C,Local communities,Local control
4,C_Local govts_control issues,State Agency,C,Local communities,Local control
4,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
4,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
4,S_Resources_Integrate funding sources,State Agency,S,Funding/Resources,Integrate funding sources
4,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
4,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
4,C_Organizations_Jurisdictional overlap,State Agency,C,Institutions,Jurisdictional overlap
4,C_Political leadership_Need disaster to spur action,State Agency,C,Leadership,Need disaster to spur action
4,C_People_SLR too far off in future,State Agency,C,Local communities,SLR too far off in future
4,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
36,C_People_SLR too far off in future,Private sector NGO,C,Local communities,SLR too far off in future
36,C_Private sector_no support,Private sector NGO,C,Funding/Resources,Who pays?
36,C_Complexity_Vulnerability interdependence,Private sector NGO,C,Science,Vulnerability interdependence
36,S_Resources_Lobby for federal program,Private sector NGO,S,Funding/Resources,Lobby for federal program
36,S_Resources_Integrate funding sources,Private sector NGO,S,Funding/Resources,Integrate funding sources
36,S_Resources_Lobby for federal program,Private sector NGO,S,Funding/Resources,Lobby for federal program
36,C_Leadership_No single voice for the Bay,Private sector NGO,C,Leadership,No single voice for the Bay
36,C_Organizations_Jurisdictional overlap,Private sector NGO,C,Institutions,Jurisdictional overlap
36,C_People_loss of property value,Private sector NGO,C,Local communities,NYMBYsm
31,C_Organizations_Jurisdictional overlap,Env NGO,C,Institutions,Jurisdictional overlap
31,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
31,C_Regulation_Permitting issues,Env NGO,C,Regulation,Permitting issues
31,C_Collaborative governance_All talk no action,Env NGO,C,Institutions,All talk no action
31,S_Leadership_Individuals matter,Env NGO,S,Leadership,Individuals matter
31,C_Organizations_mission,Env NGO,C,Institutions,Statutory mission
31,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
31,C_Local govts_control issues,Env NGO,C,Local communities,Local control
31,C_Complexity_Vulnerability interdependence,Env NGO,C,Science,Vulnerability interdependence
21,S_Complexity_Climate service enterprise,Regional Agency,S,Science,Climate service enterprise
21,S_Collaborative governance_broad participation,Regional Agency,S,Institutions,Broad participation
4,S_Planning_Green infrastructure,State Agency,S,Planning,Green infrastructure
21,C_Organizations_Jurisdictional fragmentation,Regional Agency,C,Institutions,Jurisdictional fragmentation
21,S_Political leadership_create legi requirements,Regional Agency,S,Leadership,Create legislative requirements
21,S_Leadership_collaboration led by regional agencies,Regional Agency,S,Leadership,Collaboration led by regional agencies
21,C_Organizations_Jurisdictional overlap,Regional Agency,C,Institutions,Jurisdictional overlap
21,S_Regulation_Integrated permitting,Regional Agency,S,Regulation,Integrated permitting
21,S_Leadership_collaboration led by regional agencies,Regional Agency,S,Leadership,Collaboration led by regional agencies
21,S_Resources_Integrate funding sources,Regional Agency,S,Funding/Resources,Integrate funding sources
21,S_Resources_Tap non-traditional funding pockets,Regional Agency,S,Funding/Resources,Tap non-traditional funding pockets
21,C_Political leadership_lack vision,Regional Agency,C,Leadership,Lack of vision
21,C_Organizations_Jurisdictional overlap,Regional Agency,C,Institutions,Jurisdictional overlap
21,S_Regulation_Integrated permitting,Regional Agency,S,Regulation,Integrated permitting
21,C_Organizations_Competition for leadership,Regional Agency,C,Institutions,Competition for leadership
21,C_Complexity_Vulnerability interdependence,Regional Agency,C,Science,Vulnerability interdependence
37,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
38,S_Resources_Tap non-traditional funding pockets,State Agency,S,Funding/Resources,Tap non-traditional funding pockets
4,C_Political leadership_Need disaster to spur action,State Agency,C,Leadership,Need disaster to spur action
25,S_Leadership_Individuals matter,Urban Planning NGO,S,Leadership,Individuals matter
16,C_People_SLR too far off in future,Politician,C,Local communities,SLR too far off in future
31,S_Leadership_Existing entity/entities,Env NGO,S,Leadership,Empower existing entities
31,S_Regulation_Integrated permitting,Env NGO,S,Regulation,Integrated permitting
8,C_Resources_Who pays?,County government,C,Funding/Resources,Who pays?
9,S_Resources_Ballot measure to raise money,Regional Agency,S,Funding/Resources,Ballot measure to raise money
33,C_Private sector_no support,Project,C,Funding/Resources,Who pays?
13,S_Leadership_Individuals matter,County government,S,Leadership,Individuals matter
8,S_Resources_Lobby for federal program,County government,S,Funding/Resources,Lobby for federal program
38,S_Resources_Lobby for federal program,State Agency,S,Funding/Resources,Lobby for federal program
38,S_Resources_Lobby for federal program,State Agency,S,Funding/Resources,Lobby for federal program
11,C_Resources_Who pays?,County Agency,C,Funding/Resources,Who pays?
33,C_Resources_Lack staff resources,Project,C,Funding/Resources,Lack staff resources
25,C_Organizations_Jurisdictional overlap,Urban Planning NGO,C,Institutions,Jurisdictional overlap
25,C_People_loss of property value,Urban Planning NGO,C,Local communities,NYMBYsm
25,S_Resources_Ballot measure to raise money,Urban Planning NGO,S,Funding/Resources,Ballot measure to raise money
25,C_Resources_There won't be federal money,Urban Planning NGO,C,Funding/Resources,Who pays?
25,S_Resources_Ballot measure to raise money,Urban Planning NGO,S,Funding/Resources,Ballot measure to raise money
25,C_Organizations_Jurisdictional fragmentation,Urban Planning NGO,C,Institutions,Jurisdictional fragmentation
25,C_Complexity_Vulnerability interdependence,Urban Planning NGO,C,Science,Vulnerability interdependence
25,C_Collaborative governance_All talk no action,Urban Planning NGO,C,Institutions,All talk no action
25,S_Leadership_Existing entity/entities,Urban Planning NGO,S,Leadership,Empower existing entities
21,S_Collaborative governance_broad participation,Regional Agency,S,Institutions,Broad participation
5,C_Complexity_Vulnerability interdependence,JPA,C,Science,Vulnerability interdependence
5,C_Resources_Restrictions on budgets use,JPA,C,Funding/Resources,Restrictions on budgets use
5,S_Resources_Integrate funding sources,JPA,S,Funding/Resources,Integrate funding sources
5,S_Leadership_Individuals matter,JPA,S,Leadership,Individuals matter
5,S_Local govts_Carrot and sticks for local communities,JPA,S,Local communities,Carrot and sticks for local communities
5,C_Organizations_Jurisdictional overlap,JPA,C,Institutions,Jurisdictional overlap
5,C_Regulation_Permitting issues,JPA,C,Regulation,Permitting issues
5,C_Organizations_mission,JPA,C,Institutions,Statutory mission
5,C_Local govts_control issues,JPA,C,Local communities,Local control
5,C_Regulation_Permitting issues,JPA,C,Regulation,Permitting issues
5,C_Regulation_Permitting issues,JPA,C,Regulation,Permitting issues
5,S_Political leadership_create legi requirements,JPA,S,Leadership,Create legislative requirements
5,C_Complexity_Vulnerability interdependence,JPA,C,Science,Vulnerability interdependence
5,C_Complexity_Vulnerability interdependence,JPA,C,Science,Vulnerability interdependence
5,C_Organizations_Jurisdictional fragmentation,JPA,C,Institutions,Jurisdictional fragmentation
5,S_Local govts_governance must include local stakeholders,JPA,S,Local communities,Include local stakeholders
5,C_Organizations_Jurisdictional fragmentation,JPA,C,Institutions,Jurisdictional fragmentation
5,C_Complexity_Vulnerability interdependence,JPA,C,Science,Vulnerability interdependence
5,C_Resources_Lack staff resources,JPA,C,Funding/Resources,Lack staff resources
5,S_Organizations_Formal authority to move things through,JPA,S,Institutions,Demand more powers
5,S_Organizations_Formal authority to move things through,JPA,S,Institutions,Demand more powers
5,C_Organizations_mission,JPA,C,Institutions,Statutory mission
39,C_Organizations_Jurisdictional fragmentation,JPA,C,Institutions,Jurisdictional fragmentation
25,C_Complexity_Uncertainty,Urban Planning NGO,C,Science,Uncertainty
5,S_Resources_private sector pay,JPA,S,Funding/Resources,Make case to private sector
14,S_Local govts_governance must include local stakeholders,State Agency,S,Local communities,Include local stakeholders
14,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
14,S_Collaborative governance_broad participation,State Agency,S,Institutions,Broad participation
14,S_Planning_Regional plan_priority list based on risk,State Agency,S,Planning,Regional plan_priority list based on risk
14,S_People_Community engagement,State Agency,S,Local communities,Engage communities
14,S_Resources_orgs share resources,State Agency,S,Funding/Resources,Agencies should share resources
14,S_Collaborative governance_talk their language,State Agency,S,Institutions,Talk stakeholders' language
14,S_Collaborative governance_talk their language,State Agency,S,Institutions,Talk stakeholders' language
14,S_Collaborative governance_talk their language,State Agency,S,Institutions,Talk stakeholders' language
14,S_People_Community engagement,State Agency,S,Local communities,Engage communities
14,S_Collaborative governance_talk their language,JPA,S,Institutions,Talk stakeholders' language
14,S_Regulation_Integrated permitting,State Agency,S,Regulation,Integrated permitting
14,C_Organizations_Competing priorities,State Agency,C,Institutions,Competing priorities
14,S_Leadership_collaboration led by regional agencies,State Agency,S,Leadership,Collaboration led by regional agencies
14,S_Leadership_Existing entity/entities,State Agency,S,Leadership,Empower existing entities
14,S_Political leadership_compel orgs to work together,State Agency,S,Leadership,Compel orgs to work together
14,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
14,C_Organizations_Jurisdictional overlap,State Agency,C,Institutions,Jurisdictional overlap
14,C_Organizations_Jurisdictional overlap,State Agency,C,Institutions,Jurisdictional overlap
14,S_People_Community engagement,State Agency,S,Local communities,Engage communities
14,C_Private sector_no support,State Agency,C,Funding/Resources,Who pays?
14,C_Regulation_Permitting issues,State Agency,C,Regulation,Permitting issues
14,S_Resources_orgs share resources,State Agency,S,Funding/Resources,Agencies should share resources
14,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
14,S_Organizations_Formal authority to move things through,State Agency,S,Institutions,Demand more powers
14,C_Resources_There won't be federal money,State Agency,C,Funding/Resources,Who pays?
14,S_Resources_Ballot measure to raise money,State Agency,S,Funding/Resources,Ballot measure to raise money
14,S_Resources_Integrate funding sources,State Agency,S,Funding/Resources,Integrate funding sources
14,C_People_SLR too far off in future,State Agency,C,Local communities,SLR too far off in future
14,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
14,C_Organizations_Conflicting goals,State Agency,C,Institutions,Conflicting goals
14,S_People_Community engagement,State Agency,S,Local communities,Engage communities
39,C_Political leadership_Need disaster to spur action,JPA,C,Leadership,Need disaster to spur action
39,C_People_SLR too far off in future,JPA,C,Local communities,SLR too far off in future
39,C_Organizations_mission,JPA,C,Institutions,Statutory mission
39,C_Organizations_Jurisdictional overlap,JPA,C,Institutions,Jurisdictional overlap
39,C_Organizations_Conflicting goals,JPA,C,Institutions,Conflicting goals
39,C_Organizations_Conflicting goals,JPA,C,Institutions,Conflicting goals
39,C_Political leadership_lack vision,JPA,C,Leadership,Lack of vision
39,C_Organizations_Conflicting goals,JPA,C,Institutions,Conflicting goals
39,C_Organizations_Competing priorities,JPA,C,Institutions,Competing priorities
