"class","dept","name","role","paste.bio..collapse.....n..","area","leadership","education","role_sp","envt","econ_geog","urban"
"academic-staff","Department of Geography and Environment","Professor Paul Cheshire","Emeritus Professor of Economic Geography","An economist by training, Paul Cheshire is Emeritus Professor of Economic Geography, now working part time. He has a strong interest in policy analysis and policy related fields, particularly in urban land markets, housing and urban growth, and has been named one of the Planning industry's most influential people. 
Paul co-edited the Handbook of Regional & Urban Economics, Vol. 3: applied urban economics (Amsterdam: North Holland, 1999) with E. S. Mills, and Recent Developments in Urban and Regional Economics (Aldershot: Edward Elgar, 2004) with Gilles Duranton. His most recent books are Urban Economics and Urban Policy: Challenging Conventional Policy Wisdom (Edward Elgar, 2014), with Henry Overman and Max Nathan and The Economics of Land Markets and their Regulation (Edward Elgar, 2017) edited with Christian Hilber. 
He is the author/co-author of more than 100 papers and was the 1989 winner of the Donald Robertson Memorial Prize and in 2004 won the Royal Economic Society's prize for the best paper in the Economic Journal. He won the European Regional Science Association/European Investment Bank's prize for lifetime contribution to regional science research in 2009. 
He is an elected Fellow of the Academy of the Social Sciences and of the Weimer School. He held a Leverhulme Research Fellowship in 2000/01 and was a Visiting Fellow of the Lincoln Institute of Land Policy in 2002. He was awarded a CBE for services to Economics and Housing in 2017. 
Apart from his academic work he has spent time as an advisor and as a consultant for the European Commission, the World Bank, the OECD, the UN and other international organisations as well as the UK government, including being a member of the Expert Panel for the Barker Review of the Planning System, and an Academic Friend of the Eddington Transport Study. Until its abolition in 2010 he was a board member of the National Housing and Planning Advice Unit and a member of two of the Department of Communities and Local Government's Expert Panels. In 2021 he acted as the Specialist Advisor to the House of Lords Select Committee on the Built Environment.
View Paul's CV.","Economic Geography",NA,FALSE,"Emeritus Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Julia Corwin","Assistant Professor in Environmental Geography","Julia Corwin is a critical human geographer and urban ethnographer whose research interests focus on the relationship between commodities, labour and the environment. She draws from political economic, STS, de/anti/post-colonial and political ecology approaches to study economies and cultures of waste and repair. Her research has focused on global flows of electronic ‘waste’ and their revaluation through economies of repair and re-manufacturing in Delhi, India, conducted through a patchwork ethnography of local markets and their role in global electronics trade networks. Her new research examines care work and the politics of electronics repair in London. Prior to her entry into academia, Julia worked on urban environmental issues in New York City, working for the Department of Sanitation and the Parks Department.
Julia holds a PhD in Geography from the University of Minnesota. ","Environmental Geography",NA,FALSE,"Assistant Professor",TRUE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Simon Dietz","Professor of Environmental Policy","Simon Dietz is Professor of Environmental Policy in the Department of Geography and Environment. He is also affiliated with the Grantham Research Institute on Climate Change and the Environment, of which he is a co-founder and former director.
Simon is an environmental economist with diverse interests, from climate change to biodiversity and from decision theory to growth theory, however he is probably best known for his work on the social cost of carbon emissions and its relationship with issues in welfare economics such as discounting, and risk and uncertainty aversion. In recent years he has also focused on corporate climate action and is the lead researcher on the Transition Pathway Initiative, an investor-led project to assess the progress that large, multi-national corporations are making on the transition to a low-carbon economy.
He is also a Visiting Fellow at the Oxford Martin School and a Research Associate of the Smith School of Enterprise and the Environment, Oxford University, a CESifo Research Network Fellow, a Principal consultant at Vivid Economics, and is co-editor of the Journal of the Association of Environmental and Resource Economists.
Awards
EAERE Award for Outstanding Publication in the journal Environmental and Resource Economics 2013 Finance for the Future Award for Driving Change Through Education, Training & Academia, 2018European Award for Researchers in Environmental Economics under the Age of Forty, 2018","Environmental Policy",NA,FALSE,"Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Eugenie Dugoua","Assistant Professor in Environmental Economics","I am an environmental economist analyzing the issue of technological change. My interests lie primarily in understanding how institutions and policies influence science, innovation, and technological change so that economic development can be sustainable for the environment and societies.
I recently graduated with a Ph.D. from Columbia University and started as an assistant professor in Environmental Economics at the London School of Economics, in the Department of Geography and Environment.
 ","Environmental Economics",NA,FALSE,"Assistant Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Professor Steve  Gibbons","Professor of Economic Geography","Stephen Gibbons is Professor of Economic Geography at the Department of Geography and Environment, London School of Economics. 
He was Head of Department from 2019-2023.
Steve's research over the past two decades has addressed spatial issues in the economics of education, transport infrastructure, environmental amenities, housing markets, labour markets, health and crime. His work places a special emphasis on understanding causality and informing policy related to geographical disparities and economic performance.
Recent work has focussed on the analysis of the impacts of transport connectivity, contributing to many projects with the Department for Transport, National Infrastructure Commission and private consultancies. Steve is currently a co-editor for the Journal of Economic Geography. He teaches urban economics, geographical information systems and methods for spatial analysis.
View Steve's CV","Economic Geography",NA,FALSE,"Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Professor Ian  Gordon","Emeritus Professor of Human Geography","Ian joined the Department as Professor of Human Geography in September 2000. Prior to this he spent eleven years as Professor of Geography at Reading University, before which he taught in Interdisciplinary Studies at the University of Kent, where he directed the Urban and Regional Studies Unit.
His main research interests have been in urban development and policies, spatial labour markets, migration and spatial interaction, particularly in the context of major metropolitan regions. He led the team carrying out the London 'integrative city study' for ESRC's Cities, Competitiveness and Cohesion programme. In April 2004 he was the academic convenor for the Leverhulme International Symposium at the LSE on The Resurgent City. 
He is currently a member of: the Mayor's Outer London Commission; and the Department of Communities and Local Government's Regeneration and Economic Development Analysis Expert Panel.
His publications include The London Employment Problem (with Buck and Young, Oxford U.P., 1986), Unemployment, Regions and Labour Markets (edited, Pion, 1987), European Factor Mobility (jointly edited, Macmillan, 1989) Divided Cities: New York and London in the contemporary world (edited with Fainstein and Harloe, Blackwell, 1992) Territorial Competition in an Integrated Europe (edited with Cheshire, Avebury, 1995), Working Capital: life and labour in contemporary London (with Buck, Hall, Harloe and Kleinman, Routledge, 2002), and Changing Cities: Rethinking urban competitiveness, cohesion and governance (edited with Buck, Harding and Turok, December 2004).
For information about the London: Economic Competitiveness project please click here.","Human Geography",NA,FALSE,"Emeritus Professor",FALSE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Vernon  Henderson","School Professor of Economic Geography","J. Vernon Henderson joined the London School of Economics in September 2013 as School Professor of Economic Geography, having previously been Eastman Professor of Political Economy at Brown University, USA.
His research focuses on urbanization in developing countries, looking both within and across cities and regions. His current research looks at topics such as the evolution of the urban system in sub-Saharan Africa; factor market distortions, city size and welfare in China; spatial equilibrium models; the dynamics of investment in the built environment in cities, how colonial legacy affects sprawl and the spatial layout of cities; the link between ethno-linguistic diversity and urban concentration worldwide; and the role of geography and history in economic development. 
His recent work is published in journals such as the Quarterly Journal of Economics, American Economic Review, Review of Economic Studies, Science and Journal of Development Economics. He has been a co-editor of the Journal of Urban Economics and the Handbook of Regional and Urban Economics, and serves on a number of editorial boards. He is a founder and past President of the Urban Economics Association. 
Over the years, he has worked with governments in Asia and Africa directly or indirectly through institutions such as the World Bank and DFIDic on formulating urban policies
View Professor Henderson's CV.","Economic Geography",NA,FALSE,"Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Carolin  Hulke","Assistant Professor in Economic Geography","Carolin Hulke is an economic geographer, who joined the department as an Assistant Professor in Economic Geography in August 2023. She has finished her PhD on local and regional horticulture value chains in Namibia and their interlinkages to the global tourism industry (“Development beyond global integration: Livelihood strategies, small-scale agriculture, and regional value chains in Namibian conservation areas”) at the University of Cologne (Germany) in 2022.
Carolin’s research focuses on the complex interlinkages between globalised economies and local development outcomes from the perspectives of regional resilience, livelihood wellbeing and inclusive development in Global South countries. In examining these topics, she is particularly interested in processes of multi-layered governance to enhance sustainability in value chains from an evolutionary perspective. Carolin has been engaged in a large collaborative research centre (“Future Rural Africa”) from 2018 to 2023, where she has conducted in-depth mixed-methods research in Southern Africa in an international and interdisciplinary team.
Conceptually, Carolin is interested in critical approaches towards global value chains and production networks, regional value chains and regionalisation dynamics linked to multiple crises, and new path creation. Her broader research questions revolve around how rural regions in the global south can transform their economies in socially and environmentally sensitive ways, how these transformation processes are governed, and who is benefiting or being left out. ","Economic Geography",NA,FALSE,"Assistant Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Stephen  Jarvis","Assistant Professor of Environmental Economics","Stephen is an Assistant Professor in Environmental Economics in the Department of Geography & Environment. His research is mainly in the fields of environmental economics and public policy, with a focus on energy and environmental topics, including electricity markets, climate change, air pollution and the political economy of clean energy.
He holds a BSc from LSE and earned his PhD at UC Berkeley’s Energy & Resources Group where he was also a Researcher at the Energy Institute at Haas. His postdoctoral work was at the University of Mannheim.","Environmental Economics",NA,FALSE,"Assistant Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Professor David Jones","Emeritus Professor of Geography and Environment","An experienced geographer, David was appointed in 1967, becoming Professor in 1990 and Convenor of the Department for the periods 1992-1996, 1998-2002 and 2004-2006. A geomorphologist by training, he has particular interests in applied geomorphology and environmental hazards and risk. His geomorphological research has involved studies in the UK as well as many parts of the Middle-East and Asia.
More recently his research has focused on hazard and risk management. He was co-ordinator of the UK national literature survey of landsliding funded by the Department of the Environment, which culminated in the publication of the co-authored book Landsliding in Great Britain, (HMSO, 1994), and his co-authored book Landslide Risk Assessment (Thomas Telford 2004), the 2nd edition of which was published in 2013.
His other work on risk includes collaborating in the production of chapters in the Royal Society report Risk: analysis, perception and management, and co-editing Accident and Design: contemporary debates in risk management.
In September 2016 he celebrated his 50th year in the Department and gave a talk to staff about its varied history. See photos from the talk.","Geography and Environment",NA,FALSE,"Emeritus Professor",TRUE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Gareth A. Jones","Professor of Urban Geography","Gareth is Professor of Urban Geography and Director of the MSc Urbanisation & Development programme. 
Gareth’s research involves four principal projects. First, funded by a British Academy award on the ‘Infrastructure and Well-Being’ programme, Gareth is PI for the project ‘Engineering food: infrastructure exclusion and ‘last mile’ delivery in Brazilian favelas’. This research, with Dr Mara Nogueira (Birkbeck), Dr Aiko Ikemura Amaral (KCL), and in collaboration with Insper, looks at how food is made available in favela and occupations in Belo Horizonte and São Paulo, Brazil. With fieldwork conducted during the COVID-19 pandemic, the research has used the notion of ‘social infrastructure’ to look at how neighbourhoods and civil society responded to make food accessible, and how households relate to food practices, nutrition, and memory. A film from the research has been produced. 
Second, research that examines the intersection of cities, youth and violence. Through the 2000s, Gareth conducted ethnography with a group of ‘street youth’ in Mexico, noting how they related to civil society, security agencies and the wider state. This work included understanding the role of gangs, the drug economy and violence, and motivated the volume Youth Violence in Latin America: Gangs and juvenile justice in perspective (edited with D. Rodgers, Macmillan-Palgrave). He is presently involved with a five-year European Research Council project entitled Gangs, Gangsters, and Ganglands: Towards a Global Comparative Ethnography, for which he serves on the International Advisory Panel and is undertaking ethnographic fieldwork in Mexico.
Third, he has been Co Principal Investigator on an ESRC-NWO-DFG grant, with Professors Rivke Jaffe (Amsterdam) and Eveline Dürr (LMU), investigating the commodification of urban poverty and violence in four cities in the Americas: Kingston, Mexico City, Rio de Janeiro and New Orleans. The research has looked at how inequality, represented through violence and poverty, has become a chic USP for certain communities and agents, sometimes incorporated into city branding, but often highly contested by residents and activists. Articles from the project have been published in Space & Culture and Urban Studies.
Fourth, research in South Africa considers how gated estates ‘do work’ to affirm class positions, ideas of whiteness, and associating exclusionary practices with ‘good governance’, the management of nature, and the symbolism of architecture and lifestyle. Research in Johannesburg follows how residents of a large township adjacent to a cluster of high-end estates gain skills and conduct labour, and how the estates organise and understand their social responsibilities to workers and neighbours. These projects are in collaboration with Richard Ballard at University of Witwatersrand.
From 2016 to 2022 Gareth was the Director of the LSE Latin America and Caribbean Centre (LACC). In this time the Centre established collaborations with InterAmerican Development Bank, CAF Development Bank, and Canning House, and with universities in Brazil, Chile, Colombia, Mexico and Cuba, Germany, Spain, Switzerland and the US. The Centre’s research programme managed £4.1 million research grants across six programmes. The blog - in English, Spanish and Portuguese – was the UK’s most read on the region, supported by a significant social media network, and made LACC a ‘go to’ source for international news organisations, think tanks and governments.","Urban Geography",NA,FALSE,"Professor",TRUE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Neil  Lee","Professor of Economic Geography","He joined the department in 2013, having previously run a research team in a think-tank. He convenes the Cities, Jobs and Economic Change theme in the International Inequalities Institute and is Director of BSc Geography with Economics. 
He holds a PhD in Economic Geography from LSE and has held visiting positions at Columbia University, the University of Oxford, Science Po Tolouse, and the University of Inland Norway.
His research considers economic development, innovation, and public policy. Recent studies have included work on institutions and economic development in Africa and China, regional inequality and political polarisation in Europe and the United States, and innovation policy in Kuwait. He is working on a major ESRC funded project constructing new measures of regional inequality. His book on innovation and inclusive growth is published by University of California Press. 
He is a fellow of the Canadian Institute for Advanced Research (CIFAR), an Associate Member of Nuffield College, Oxford, and sits on advisory boards for organisations such as the OECD. He has worked with public and private sector organisations including the World Bank, the OECD, the European Commission, NESTA, the Kuwaiti Government and the UK government.  
View Prof Neil Lee's CV.
Get to know Neil a little more through our Spotlight series.","Economic Geography",NA,FALSE,"Professor",FALSE,FALSE,FALSE
